_.moIOneMax.25.nsga2	_.moIOneMax.25.cabea.cc.11	_.moIOneMax.25.cabea.e.21	_.moIOneMax.25.cabea.e.11	_.moIOneMax.25.cabea.cc.21	_.moIOneMax.25.ga	_.moIOneMax.25.ga.33	_.moIOneMax.25.me.2	_.mt2mo.mmIOneMax.25.2.nsga2	_.mt2mo.mmIOneMax.25.2.cabea.cc.11	_.mt2mo.mmIOneMax.25.2.cabea.e.21	_.mt2mo.mmIOneMax.25.2.cabea.e.11	_.mt2mo.mmIOneMax.25.2.cabea.cc.21	_.mt2mo.mmIOneMax.25.2.ga	_.mt2mo.mmIOneMax.25.2.ga.33	_.mt2mo.mmIOneMax.25.2.me.2	_.moIOneMax.100.nsga2	_.moIOneMax.100.cabea.cc.11	_.moIOneMax.100.cabea.e.21	_.moIOneMax.100.cabea.e.11	_.moIOneMax.100.cabea.cc.21	_.moIOneMax.100.ga	_.moIOneMax.100.ga.33	_.moIOneMax.100.me.2	_.mt2mo.mmIOneMax.100.2.nsga2	_.mt2mo.mmIOneMax.100.2.cabea.cc.11	_.mt2mo.mmIOneMax.100.2.cabea.e.21	_.mt2mo.mmIOneMax.100.2.cabea.e.11	_.mt2mo.mmIOneMax.100.2.cabea.cc.21	_.mt2mo.mmIOneMax.100.2.ga	_.mt2mo.mmIOneMax.100.2.ga.33	_.mt2mo.mmIOneMax.100.2.me.2	_.moIOneMax.250.nsga2	_.moIOneMax.250.cabea.cc.11	_.moIOneMax.250.cabea.e.21	_.moIOneMax.250.cabea.e.11	_.moIOneMax.250.cabea.cc.21	_.moIOneMax.250.ga	_.moIOneMax.250.ga.33	_.moIOneMax.250.me.2	_.mt2mo.mmIOneMax.250.2.nsga2	_.mt2mo.mmIOneMax.250.2.cabea.cc.11	_.mt2mo.mmIOneMax.250.2.cabea.e.21	_.mt2mo.mmIOneMax.250.2.cabea.e.11	_.mt2mo.mmIOneMax.250.2.cabea.cc.21	_.mt2mo.mmIOneMax.250.2.ga	_.mt2mo.mmIOneMax.250.2.ga.33	_.mt2mo.mmIOneMax.250.2.me.2
5.000e-01	1.800e-01	2.344e-01	2.400e-01	2.336e-01	8.000e-02	8.000e-02	2.912e-01	3.952e-01	1.456e-01	1.992e-01	1.664e-01	1.544e-01	4.160e-02	4.160e-02	1.008e-01	3.700e-01	8.500e-02	1.062e-01	7.560e-02	1.012e-01	1.500e-02	2.000e-02	3.010e-02	1.600e-01	6.145e-02	3.505e-02	4.045e-02	4.590e-02	1.000e-02	1.000e-02	3.140e-02	2.160e-01	4.549e-02	6.676e-02	4.836e-02	4.820e-02	1.600e-02	4.000e-03	1.014e-02	7.400e-02	2.493e-02	1.849e-02	2.154e-02	1.176e-02	4.000e-03	1.992e-03	1.988e-02
4.800e-01	1.600e-01	2.536e-01	2.400e-01	2.400e-01	8.000e-02	4.000e-02	2.544e-01	3.952e-01	1.872e-01	2.312e-01	1.872e-01	1.528e-01	4.160e-02	4.160e-02	6.480e-02	3.500e-01	7.500e-02	1.056e-01	8.290e-02	1.021e-01	4.500e-02	1.500e-02	6.940e-02	1.600e-01	4.835e-02	4.055e-02	6.190e-02	3.695e-02	5.000e-03	1.000e-02	3.780e-02	2.299e-01	4.604e-02	5.048e-02	5.653e-02	6.354e-02	1.600e-02	8.000e-03	4.236e-02	1.004e-01	2.842e-02	1.918e-02	1.829e-02	1.255e-02	2.000e-03	4.000e-03	1.974e-02
5.000e-01	1.800e-01	2.200e-01	2.400e-01	2.400e-01	6.000e-02	4.000e-02	2.312e-01	4.576e-01	1.664e-01	1.752e-01	1.992e-01	1.840e-01	4.160e-02	2.080e-02	8.640e-02	3.350e-01	8.000e-02	1.058e-01	9.810e-02	1.229e-01	1.500e-02	2.000e-02	2.205e-02	1.900e-01	6.485e-02	3.620e-02	5.910e-02	2.570e-02	1.000e-02	1.500e-02	5.405e-02	2.240e-01	5.188e-02	5.375e-02	5.445e-02	6.452e-02	1.000e-02	6.000e-03	4.361e-02	7.640e-02	2.497e-02	9.360e-03	1.204e-02	1.971e-02	4.000e-03	2.992e-03	2.225e-02
5.000e-01	2.400e-01	2.600e-01	2.600e-01	2.600e-01	2.000e-02	6.000e-02	2.752e-01	3.744e-01	1.664e-01	1.736e-01	1.872e-01	1.216e-01	2.080e-02	4.160e-02	7.680e-02	3.600e-01	1.050e-01	1.025e-01	1.155e-01	8.700e-02	2.500e-02	3.000e-02	1.282e-01	1.750e-01	7.095e-02	3.630e-02	7.365e-02	2.435e-02	1.000e-02	5.000e-03	3.475e-02	2.259e-01	4.908e-02	6.232e-02	8.047e-02	3.841e-02	1.200e-02	6.000e-03	1.738e-02	6.600e-02	2.201e-02	1.900e-02	2.402e-02	1.358e-02	2.000e-03	3.984e-03	1.470e-02
5.000e-01	2.000e-01	2.336e-01	2.400e-01	2.400e-01	6.000e-02	8.000e-02	2.024e-01	3.536e-01	1.872e-01	1.640e-01	2.144e-01	2.504e-01	4.160e-02	4.160e-02	6.480e-02	3.200e-01	1.063e-01	1.006e-01	1.425e-01	9.055e-02	4.000e-02	3.000e-02	9.225e-02	1.650e-01	4.865e-02	2.930e-02	4.140e-02	4.815e-02	1.000e-02	5.000e-03	3.280e-02	2.199e-01	4.907e-02	5.411e-02	4.705e-02	4.887e-02	1.600e-02	8.000e-03	0.000e+00	7.426e-02	3.251e-02	1.540e-02	3.054e-02	1.643e-02	4.000e-03	3.968e-03	2.636e-02
4.800e-01	1.800e-01	2.944e-01	1.800e-01	2.472e-01	1.000e-01	8.000e-02	2.336e-01	4.160e-01	1.664e-01	1.680e-01	1.664e-01	2.112e-01	2.080e-02	2.080e-02	8.320e-02	3.350e-01	1.107e-01	1.137e-01	8.045e-02	1.001e-01	6.000e-02	2.500e-02	2.975e-02	1.683e-01	5.625e-02	3.830e-02	8.835e-02	4.820e-02	5.000e-03	1.000e-02	2.710e-02	2.074e-01	6.791e-02	5.460e-02	3.946e-02	6.213e-02	1.200e-02	8.000e-03	3.032e-03	8.398e-02	2.824e-02	9.864e-03	2.181e-02	1.588e-02	2.000e-03	5.976e-03	0.000e+00
4.800e-01	2.000e-01	2.688e-01	2.400e-01	2.200e-01	6.000e-02	8.000e-02	2.936e-01	3.952e-01	1.456e-01	1.528e-01	1.664e-01	2.200e-01	4.160e-02	2.080e-02	1.280e-01	3.443e-01	1.058e-01	8.200e-02	1.025e-01	8.810e-02	1.000e-02	3.500e-02	2.415e-02	1.850e-01	6.160e-02	4.045e-02	4.960e-02	2.940e-02	1.000e-02	1.000e-02	2.015e-02	2.120e-01	5.627e-02	4.189e-02	5.758e-02	4.942e-02	1.000e-02	1.200e-02	1.230e-02	9.400e-02	1.419e-02	1.421e-02	4.562e-02	1.990e-02	4.000e-03	4.000e-03	2.514e-02
4.800e-01	2.000e-01	2.536e-01	2.000e-01	2.200e-01	8.000e-02	8.000e-02	2.296e-01	3.536e-01	1.872e-01	1.336e-01	1.664e-01	1.608e-01	4.160e-02	2.080e-02	9.200e-02	3.700e-01	9.285e-02	1.011e-01	8.100e-02	1.030e-01	3.000e-02	1.000e-02	7.315e-02	2.000e-01	4.430e-02	3.940e-02	3.405e-02	3.470e-02	5.000e-03	1.000e-02	3.080e-02	2.180e-01	5.082e-02	5.441e-02	5.774e-02	4.434e-02	1.200e-02	6.000e-03	1.650e-02	6.800e-02	2.305e-02	1.447e-02	3.063e-02	2.864e-03	4.000e-03	3.984e-03	1.789e-02
4.400e-01	2.200e-01	2.336e-01	2.400e-01	2.744e-01	1.000e-01	4.000e-02	2.392e-01	3.744e-01	1.456e-01	1.640e-01	1.664e-01	1.464e-01	4.160e-02	2.080e-02	1.432e-01	3.499e-01	1.050e-01	9.000e-02	1.035e-01	1.261e-01	3.500e-02	3.000e-02	1.353e-01	1.500e-01	6.670e-02	2.350e-02	7.455e-02	4.090e-02	5.000e-03	5.000e-03	3.000e-02	1.974e-01	5.470e-02	4.507e-02	5.123e-02	3.872e-02	2.104e-02	6.000e-03	3.495e-02	8.400e-02	2.237e-02	1.680e-02	2.094e-02	1.555e-02	4.000e-03	3.952e-03	1.857e-02
4.800e-01	1.400e-01	2.400e-01	2.200e-01	2.800e-01	6.000e-02	6.000e-02	3.072e-01	3.536e-01	1.456e-01	1.312e-01	2.080e-01	2.264e-01	2.080e-02	2.080e-02	1.272e-01	3.850e-01	7.500e-02	1.168e-01	9.775e-02	9.835e-02	6.265e-02	1.500e-02	6.365e-02	1.950e-01	5.070e-02	2.140e-02	7.105e-02	4.710e-02	1.000e-02	1.000e-02	3.515e-02	2.068e-01	5.322e-02	5.551e-02	6.226e-02	3.144e-02	1.400e-02	4.000e-03	6.786e-02	7.811e-02	2.852e-02	1.069e-02	3.003e-02	1.087e-02	8.000e-03	4.896e-03	1.424e-02
