evals.q.250.	_.circularPointsAiming.10.3.ga.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.ga.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.ga.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.ga.33.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.ga.33.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.ga.33.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.pso.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.pso.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.pso.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.de.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.de.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.de.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.me.2.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.me.2.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.me.2.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.e.11.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.cc.11.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.e.21.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.circularPointsAiming.10.3.cabea.cc.21.all.each.solution.overall.target.distance	_.circularPointsAiming.10.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.circularPointsAiming.10.3.cabea.cc.21.all.each.solution.overall.target.distance.max
2.500e+03	3.524e+00	3.494e+00	3.567e+00	3.534e+00	3.488e+00	3.564e+00	3.088e+00	2.937e+00	3.217e+00	3.903e+00	3.761e+00	3.982e+00	1.871e+00	1.648e+00	2.005e+00	1.793e+00	1.570e+00	1.987e+00	2.137e+00	1.327e+00	2.321e+00	nan	nan	nan	nan	nan	nan
2.750e+03	3.527e+00	3.505e+00	3.578e+00	3.548e+00	3.495e+00	3.565e+00	3.127e+00	2.981e+00	3.215e+00	3.903e+00	3.761e+00	3.982e+00	1.767e+00	1.602e+00	1.919e+00	1.628e+00	1.462e+00	2.227e+00	2.178e+00	1.300e+00	2.293e+00	2.471e+00	2.394e+00	2.585e+00	2.281e+00	2.212e+00	2.386e+00
3.000e+03	3.533e+00	3.504e+00	3.573e+00	3.549e+00	3.512e+00	3.567e+00	3.163e+00	3.020e+00	3.256e+00	3.904e+00	3.761e+00	3.982e+00	1.704e+00	1.564e+00	1.900e+00	1.596e+00	1.403e+00	2.186e+00	2.192e+00	1.341e+00	2.303e+00	2.385e+00	2.315e+00	2.464e+00	2.224e+00	2.130e+00	2.287e+00
3.250e+03	3.537e+00	3.510e+00	3.572e+00	3.549e+00	3.515e+00	3.574e+00	3.146e+00	3.020e+00	3.247e+00	3.904e+00	3.761e+00	3.982e+00	1.645e+00	1.517e+00	1.877e+00	1.484e+00	1.324e+00	2.164e+00	2.173e+00	1.984e+00	2.278e+00	nan	nan	nan	2.165e+00	2.060e+00	2.224e+00
3.500e+03	3.545e+00	3.513e+00	3.585e+00	3.549e+00	3.525e+00	3.575e+00	3.137e+00	3.015e+00	3.268e+00	3.904e+00	3.762e+00	3.982e+00	1.646e+00	1.469e+00	1.953e+00	1.503e+00	1.205e+00	2.135e+00	2.172e+00	2.048e+00	2.244e+00	2.306e+00	2.191e+00	2.375e+00	2.108e+00	1.984e+00	2.182e+00
3.750e+03	3.545e+00	3.508e+00	3.588e+00	3.561e+00	3.539e+00	3.583e+00	3.148e+00	3.036e+00	3.299e+00	3.904e+00	3.763e+00	3.982e+00	1.571e+00	1.408e+00	1.971e+00	1.482e+00	1.176e+00	2.112e+00	2.169e+00	2.038e+00	2.274e+00	nan	nan	nan	nan	nan	nan
4.000e+03	3.560e+00	3.512e+00	3.588e+00	3.557e+00	3.521e+00	3.583e+00	3.148e+00	3.041e+00	3.255e+00	3.904e+00	3.763e+00	3.982e+00	1.616e+00	1.400e+00	1.943e+00	1.482e+00	1.105e+00	2.095e+00	2.184e+00	2.064e+00	2.272e+00	2.208e+00	2.061e+00	2.324e+00	2.011e+00	1.889e+00	2.066e+00
4.250e+03	3.560e+00	3.514e+00	3.591e+00	3.557e+00	3.520e+00	3.589e+00	3.235e+00	2.999e+00	3.382e+00	3.904e+00	3.764e+00	3.982e+00	1.545e+00	1.328e+00	1.919e+00	1.935e+00	1.041e+00	2.145e+00	2.178e+00	2.049e+00	2.299e+00	nan	nan	nan	1.920e+00	1.805e+00	2.000e+00
4.500e+03	3.560e+00	3.533e+00	3.583e+00	3.569e+00	3.530e+00	3.589e+00	3.243e+00	3.108e+00	3.362e+00	3.904e+00	3.765e+00	3.982e+00	1.507e+00	1.248e+00	1.888e+00	1.989e+00	1.027e+00	2.129e+00	2.163e+00	2.049e+00	2.301e+00	2.110e+00	1.902e+00	2.209e+00	1.825e+00	1.683e+00	1.902e+00
4.750e+03	3.564e+00	3.534e+00	3.585e+00	3.574e+00	3.549e+00	3.591e+00	3.274e+00	3.119e+00	3.410e+00	3.904e+00	3.766e+00	3.982e+00	1.437e+00	1.191e+00	1.842e+00	1.999e+00	9.833e-01	2.144e+00	2.151e+00	2.037e+00	2.274e+00	1.991e+00	1.830e+00	2.132e+00	nan	nan	nan
5.000e+03	3.567e+00	3.545e+00	3.585e+00	3.574e+00	3.558e+00	3.598e+00	3.258e+00	3.132e+00	3.389e+00	3.904e+00	3.766e+00	3.982e+00	1.358e+00	1.191e+00	1.936e+00	2.036e+00	9.727e-01	2.168e+00	2.140e+00	2.037e+00	2.262e+00	nan	nan	nan	1.742e+00	1.601e+00	1.836e+00
5.250e+03	3.564e+00	3.546e+00	3.580e+00	3.574e+00	3.560e+00	3.592e+00	3.335e+00	3.201e+00	3.453e+00	3.904e+00	3.767e+00	3.982e+00	1.358e+00	1.156e+00	1.948e+00	2.053e+00	9.477e-01	2.168e+00	2.140e+00	1.999e+00	2.264e+00	1.890e+00	1.777e+00	2.031e+00	1.694e+00	1.593e+00	1.749e+00
5.500e+03	3.564e+00	3.546e+00	3.580e+00	3.578e+00	3.562e+00	3.602e+00	3.347e+00	3.209e+00	3.456e+00	3.904e+00	3.767e+00	3.982e+00	1.346e+00	1.135e+00	1.948e+00	2.090e+00	9.287e-01	2.177e+00	2.118e+00	2.003e+00	2.259e+00	nan	nan	nan	1.593e+00	1.475e+00	1.701e+00
5.750e+03	3.566e+00	3.549e+00	3.583e+00	3.578e+00	3.557e+00	3.594e+00	3.348e+00	3.207e+00	3.448e+00	3.904e+00	3.767e+00	3.982e+00	1.328e+00	1.094e+00	1.929e+00	2.090e+00	9.106e-01	2.171e+00	2.117e+00	2.042e+00	2.256e+00	1.777e+00	1.654e+00	1.964e+00	nan	nan	nan
6.000e+03	3.569e+00	3.549e+00	3.583e+00	3.580e+00	3.559e+00	3.592e+00	3.357e+00	3.191e+00	3.492e+00	3.904e+00	3.767e+00	3.982e+00	1.284e+00	1.094e+00	1.929e+00	2.053e+00	8.875e-01	2.141e+00	2.117e+00	2.042e+00	2.256e+00	nan	nan	nan	1.554e+00	1.454e+00	1.659e+00
6.250e+03	3.567e+00	3.549e+00	3.592e+00	3.580e+00	3.563e+00	3.592e+00	3.362e+00	3.200e+00	3.496e+00	3.904e+00	3.767e+00	3.982e+00	1.284e+00	1.094e+00	1.929e+00	2.053e+00	8.695e-01	2.152e+00	2.117e+00	2.042e+00	2.256e+00	1.718e+00	1.630e+00	1.847e+00	1.509e+00	1.420e+00	1.571e+00
6.500e+03	3.567e+00	3.549e+00	3.595e+00	3.581e+00	3.563e+00	3.598e+00	3.400e+00	3.238e+00	3.496e+00	3.904e+00	3.767e+00	3.982e+00	1.284e+00	1.020e+00	1.931e+00	2.077e+00	8.695e-01	2.157e+00	2.140e+00	2.032e+00	2.256e+00	1.689e+00	1.592e+00	1.770e+00	1.420e+00	1.349e+00	1.503e+00
6.750e+03	3.567e+00	3.557e+00	3.596e+00	3.582e+00	3.564e+00	3.595e+00	3.428e+00	3.292e+00	3.541e+00	3.904e+00	3.767e+00	3.982e+00	1.284e+00	1.017e+00	1.915e+00	2.077e+00	8.695e-01	2.144e+00	2.121e+00	2.021e+00	2.267e+00	nan	nan	nan	nan	nan	nan
7.000e+03	3.573e+00	3.556e+00	3.607e+00	3.576e+00	3.563e+00	3.594e+00	3.394e+00	3.282e+00	3.508e+00	3.904e+00	3.767e+00	3.982e+00	1.235e+00	1.011e+00	1.915e+00	2.065e+00	8.695e-01	2.143e+00	2.108e+00	2.025e+00	2.267e+00	1.653e+00	1.538e+00	1.706e+00	1.381e+00	1.333e+00	1.469e+00
7.250e+03	3.573e+00	3.556e+00	3.607e+00	3.574e+00	3.560e+00	3.594e+00	3.451e+00	3.330e+00	3.567e+00	3.904e+00	3.767e+00	3.982e+00	1.202e+00	1.003e+00	1.994e+00	2.063e+00	8.695e-01	2.134e+00	2.104e+00	2.017e+00	2.267e+00	nan	nan	nan	1.358e+00	1.274e+00	1.462e+00
7.500e+03	3.575e+00	3.551e+00	3.607e+00	3.568e+00	3.560e+00	3.594e+00	3.471e+00	3.327e+00	3.542e+00	3.904e+00	3.767e+00	3.982e+00	1.202e+00	1.003e+00	1.994e+00	2.051e+00	8.173e-01	2.157e+00	2.110e+00	2.015e+00	2.267e+00	1.586e+00	1.486e+00	1.660e+00	1.327e+00	1.259e+00	1.460e+00
7.750e+03	3.576e+00	3.564e+00	3.607e+00	3.567e+00	3.560e+00	3.592e+00	3.487e+00	3.376e+00	3.588e+00	3.904e+00	3.767e+00	3.982e+00	1.147e+00	9.713e-01	1.994e+00	2.051e+00	8.173e-01	2.129e+00	2.109e+00	2.015e+00	2.267e+00	nan	nan	nan	nan	nan	nan
8.000e+03	3.582e+00	3.559e+00	3.607e+00	3.569e+00	3.560e+00	3.595e+00	3.491e+00	3.368e+00	3.587e+00	3.904e+00	3.767e+00	3.982e+00	1.130e+00	9.713e-01	1.994e+00	2.039e+00	8.115e-01	2.133e+00	2.107e+00	2.015e+00	2.215e+00	1.523e+00	1.442e+00	1.602e+00	1.296e+00	1.216e+00	1.355e+00
8.250e+03	3.587e+00	3.559e+00	3.607e+00	3.576e+00	3.563e+00	3.595e+00	3.560e+00	3.458e+00	3.633e+00	3.904e+00	3.767e+00	3.982e+00	1.097e+00	9.468e-01	2.009e+00	2.039e+00	7.998e-01	2.148e+00	2.089e+00	2.005e+00	2.215e+00	nan	nan	nan	1.243e+00	1.189e+00	1.332e+00
8.500e+03	3.586e+00	3.564e+00	3.604e+00	3.579e+00	3.563e+00	3.596e+00	3.534e+00	3.392e+00	3.621e+00	3.904e+00	3.767e+00	3.982e+00	1.097e+00	9.361e-01	2.009e+00	2.039e+00	8.115e-01	2.157e+00	2.089e+00	2.023e+00	3.515e+00	1.508e+00	1.355e+00	1.589e+00	1.225e+00	1.127e+00	1.300e+00
8.750e+03	3.586e+00	3.565e+00	3.603e+00	3.585e+00	3.563e+00	3.597e+00	3.577e+00	3.515e+00	3.634e+00	3.904e+00	3.767e+00	3.982e+00	1.030e+00	9.135e-01	1.984e+00	2.039e+00	8.115e-01	2.157e+00	2.079e+00	2.023e+00	3.524e+00	1.457e+00	1.306e+00	1.496e+00	nan	nan	nan
9.000e+03	3.591e+00	3.565e+00	3.604e+00	3.580e+00	3.563e+00	3.600e+00	3.568e+00	3.486e+00	3.645e+00	3.904e+00	3.767e+00	3.982e+00	1.030e+00	9.135e-01	1.984e+00	2.043e+00	8.115e-01	2.148e+00	2.089e+00	2.023e+00	3.524e+00	nan	nan	nan	1.197e+00	1.100e+00	1.243e+00
9.250e+03	3.591e+00	3.568e+00	3.606e+00	3.585e+00	3.566e+00	3.600e+00	3.586e+00	3.517e+00	3.657e+00	3.904e+00	3.767e+00	3.982e+00	1.027e+00	9.109e-01	1.947e+00	2.037e+00	8.004e-01	2.148e+00	2.107e+00	2.012e+00	3.524e+00	1.388e+00	1.294e+00	1.457e+00	1.178e+00	1.085e+00	1.229e+00
9.500e+03	3.591e+00	3.568e+00	3.606e+00	3.584e+00	3.563e+00	3.602e+00	3.608e+00	3.494e+00	3.658e+00	3.904e+00	3.767e+00	3.982e+00	1.027e+00	9.072e-01	1.972e+00	2.026e+00	7.738e-01	2.131e+00	2.107e+00	2.012e+00	3.524e+00	nan	nan	nan	1.146e+00	1.010e+00	1.215e+00
9.750e+03	3.590e+00	3.568e+00	3.613e+00	3.584e+00	3.563e+00	3.599e+00	3.599e+00	3.509e+00	3.669e+00	3.904e+00	3.767e+00	3.982e+00	9.277e-01	8.646e-01	1.972e+00	2.030e+00	7.464e-01	2.140e+00	2.125e+00	2.012e+00	3.474e+00	1.373e+00	1.260e+00	1.399e+00	1.114e+00	9.965e-01	1.180e+00
1.000e+04	3.590e+00	3.573e+00	3.607e+00	3.584e+00	3.560e+00	3.597e+00	3.621e+00	3.513e+00	3.669e+00	3.904e+00	3.767e+00	3.982e+00	9.277e-01	8.644e-01	1.963e+00	2.030e+00	7.464e-01	2.140e+00	2.125e+00	2.018e+00	3.556e+00	nan	nan	nan	nan	nan	nan
1.025e+04	3.590e+00	3.573e+00	3.607e+00	3.579e+00	3.558e+00	3.595e+00	3.641e+00	3.575e+00	3.678e+00	3.904e+00	3.767e+00	3.982e+00	9.277e-01	8.302e-01	1.965e+00	2.037e+00	7.464e-01	2.104e+00	2.125e+00	2.018e+00	3.556e+00	1.269e+00	1.224e+00	1.369e+00	1.074e+00	9.840e-01	1.180e+00
1.050e+04	3.589e+00	3.573e+00	3.606e+00	3.584e+00	3.559e+00	3.595e+00	3.649e+00	3.602e+00	3.680e+00	3.904e+00	3.767e+00	3.982e+00	9.258e-01	8.255e-01	1.965e+00	2.037e+00	7.464e-01	2.115e+00	2.115e+00	2.018e+00	3.537e+00	1.249e+00	1.152e+00	1.339e+00	1.044e+00	9.839e-01	1.142e+00
1.075e+04	3.589e+00	3.569e+00	3.604e+00	3.584e+00	3.560e+00	3.595e+00	3.642e+00	3.596e+00	3.689e+00	3.904e+00	3.767e+00	3.982e+00	9.258e-01	8.168e-01	1.955e+00	2.056e+00	7.340e-01	2.107e+00	2.115e+00	2.014e+00	3.537e+00	nan	nan	nan	1.011e+00	9.740e-01	1.132e+00
1.100e+04	3.588e+00	3.566e+00	3.604e+00	3.584e+00	3.560e+00	3.595e+00	3.654e+00	3.622e+00	3.683e+00	3.904e+00	3.767e+00	3.982e+00	9.258e-01	8.061e-01	1.997e+00	2.038e+00	7.340e-01	2.101e+00	2.115e+00	2.014e+00	3.537e+00	1.245e+00	1.112e+00	1.301e+00	nan	nan	nan
1.125e+04	3.589e+00	3.566e+00	3.609e+00	3.584e+00	3.564e+00	3.597e+00	3.666e+00	3.634e+00	3.690e+00	3.904e+00	3.767e+00	3.982e+00	8.972e-01	8.061e-01	1.976e+00	2.038e+00	7.340e-01	2.101e+00	2.115e+00	2.014e+00	3.537e+00	nan	nan	nan	9.902e-01	9.342e-01	1.121e+00
1.150e+04	3.589e+00	3.567e+00	3.610e+00	3.580e+00	3.564e+00	3.595e+00	3.675e+00	3.640e+00	3.695e+00	3.904e+00	3.767e+00	3.982e+00	8.902e-01	7.854e-01	2.010e+00	2.056e+00	7.340e-01	2.101e+00	2.101e+00	2.014e+00	3.555e+00	1.222e+00	1.090e+00	1.287e+00	9.902e-01	8.799e-01	1.096e+00
1.175e+04	3.588e+00	3.567e+00	3.610e+00	3.584e+00	3.565e+00	3.595e+00	3.675e+00	3.625e+00	3.700e+00	3.904e+00	3.767e+00	3.982e+00	8.902e-01	7.851e-01	2.009e+00	2.037e+00	7.340e-01	2.107e+00	2.097e+00	2.005e+00	3.550e+00	nan	nan	nan	9.902e-01	8.789e-01	1.091e+00
1.200e+04	3.587e+00	3.569e+00	3.610e+00	3.584e+00	3.566e+00	3.594e+00	3.684e+00	3.633e+00	3.703e+00	3.904e+00	3.767e+00	3.982e+00	8.902e-01	7.502e-01	2.007e+00	2.037e+00	7.340e-01	2.107e+00	2.113e+00	2.000e+00	3.449e+00	1.146e+00	1.072e+00	1.245e+00	nan	nan	nan
1.225e+04	3.591e+00	3.576e+00	3.614e+00	3.584e+00	3.566e+00	3.595e+00	3.692e+00	3.644e+00	3.710e+00	3.904e+00	3.767e+00	3.982e+00	8.902e-01	7.238e-01	2.007e+00	2.037e+00	7.328e-01	2.107e+00	2.106e+00	2.005e+00	3.449e+00	1.132e+00	1.018e+00	1.223e+00	9.615e-01	8.741e-01	1.053e+00
1.250e+04	3.591e+00	3.576e+00	3.606e+00	3.585e+00	3.566e+00	3.600e+00	3.697e+00	3.661e+00	3.713e+00	3.904e+00	3.767e+00	3.982e+00	8.728e-01	7.210e-01	2.018e+00	2.037e+00	7.064e-01	2.107e+00	2.107e+00	2.005e+00	3.449e+00	nan	nan	nan	9.350e-01	8.688e-01	1.030e+00
1.275e+04	3.591e+00	3.575e+00	3.606e+00	3.584e+00	3.564e+00	3.600e+00	3.690e+00	3.653e+00	3.711e+00	3.904e+00	3.767e+00	3.982e+00	8.349e-01	7.210e-01	1.995e+00	2.037e+00	7.064e-01	2.114e+00	2.107e+00	2.005e+00	3.449e+00	1.112e+00	1.013e+00	1.186e+00	8.988e-01	8.493e-01	9.962e-01
1.300e+04	3.587e+00	3.576e+00	3.606e+00	3.584e+00	3.564e+00	3.600e+00	3.702e+00	3.679e+00	3.715e+00	3.904e+00	3.767e+00	3.982e+00	8.273e-01	7.210e-01	2.016e+00	2.038e+00	7.064e-01	2.121e+00	2.097e+00	2.005e+00	3.449e+00	nan	nan	nan	nan	nan	nan
1.325e+04	3.590e+00	3.575e+00	3.614e+00	3.584e+00	3.566e+00	3.600e+00	3.702e+00	3.683e+00	3.715e+00	3.904e+00	3.767e+00	3.982e+00	8.100e-01	6.987e-01	1.988e+00	2.038e+00	7.064e-01	2.116e+00	2.095e+00	2.005e+00	3.449e+00	1.084e+00	9.790e-01	1.154e+00	8.918e-01	8.166e-01	9.921e-01
1.350e+04	3.587e+00	3.567e+00	3.606e+00	3.584e+00	3.564e+00	3.600e+00	3.710e+00	3.694e+00	3.718e+00	3.904e+00	3.767e+00	3.982e+00	8.100e-01	6.976e-01	1.988e+00	2.037e+00	7.064e-01	2.116e+00	2.090e+00	2.005e+00	3.449e+00	nan	nan	nan	8.758e-01	8.166e-01	9.921e-01
1.375e+04	3.587e+00	3.567e+00	3.606e+00	3.588e+00	3.564e+00	3.600e+00	3.704e+00	3.687e+00	3.719e+00	3.904e+00	3.767e+00	3.982e+00	7.698e-01	6.751e-01	1.988e+00	2.037e+00	7.328e-01	2.100e+00	2.090e+00	2.005e+00	3.498e+00	1.063e+00	9.522e-01	1.137e+00	8.758e-01	8.134e-01	9.463e-01
1.400e+04	3.590e+00	3.567e+00	3.606e+00	3.588e+00	3.562e+00	3.601e+00	3.713e+00	3.692e+00	3.720e+00	3.904e+00	3.767e+00	3.982e+00	7.698e-01	6.751e-01	1.988e+00	2.037e+00	7.080e-01	2.082e+00	2.090e+00	2.000e+00	3.498e+00	1.055e+00	9.371e-01	1.109e+00	nan	nan	nan
1.425e+04	3.596e+00	3.575e+00	3.615e+00	3.588e+00	3.560e+00	3.604e+00	3.708e+00	3.689e+00	3.719e+00	3.904e+00	3.767e+00	3.982e+00	7.698e-01	6.751e-01	1.971e+00	2.011e+00	7.080e-01	2.076e+00	2.090e+00	2.000e+00	3.538e+00	nan	nan	nan	8.664e-01	8.134e-01	9.463e-01
1.450e+04	3.596e+00	3.578e+00	3.615e+00	3.588e+00	3.560e+00	3.604e+00	3.718e+00	3.703e+00	3.723e+00	3.904e+00	3.767e+00	3.982e+00	7.698e-01	6.486e-01	1.971e+00	2.011e+00	6.936e-01	2.076e+00	2.077e+00	2.000e+00	3.538e+00	1.029e+00	9.306e-01	1.109e+00	8.590e-01	7.528e-01	9.440e-01
1.475e+04	3.596e+00	3.580e+00	3.608e+00	3.588e+00	3.560e+00	3.606e+00	3.713e+00	3.697e+00	3.722e+00	3.904e+00	3.767e+00	3.982e+00	7.698e-01	6.330e-01	1.971e+00	2.020e+00	6.936e-01	2.068e+00	2.077e+00	2.000e+00	3.550e+00	nan	nan	nan	8.395e-01	7.285e-01	9.438e-01
1.500e+04	3.598e+00	3.578e+00	3.608e+00	3.588e+00	3.560e+00	3.606e+00	3.716e+00	3.703e+00	3.726e+00	3.904e+00	3.767e+00	3.982e+00	7.698e-01	6.330e-01	1.968e+00	2.020e+00	6.936e-01	2.071e+00	2.077e+00	2.000e+00	3.550e+00	9.922e-01	8.828e-01	1.089e+00	nan	nan	nan
1.525e+04	3.598e+00	3.578e+00	3.608e+00	3.584e+00	3.560e+00	3.601e+00	3.716e+00	3.699e+00	3.724e+00	3.904e+00	3.767e+00	3.982e+00	7.695e-01	6.330e-01	1.971e+00	2.020e+00	6.880e-01	2.064e+00	2.078e+00	2.000e+00	3.550e+00	nan	nan	nan	8.327e-01	7.285e-01	9.438e-01
1.550e+04	3.598e+00	3.578e+00	3.607e+00	3.582e+00	3.563e+00	3.601e+00	3.719e+00	3.706e+00	3.725e+00	3.904e+00	3.767e+00	3.982e+00	7.695e-01	6.281e-01	1.971e+00	2.020e+00	6.880e-01	2.071e+00	2.078e+00	2.000e+00	3.550e+00	9.738e-01	8.828e-01	1.043e+00	8.327e-01	7.285e-01	9.203e-01
