evals.q.250.	_.mt.100.3.ga.best.fitness	_.mt.100.3.ga.best.fitness.min	_.mt.100.3.ga.best.fitness.max	_.mt.100.3.ga.33.best.fitness	_.mt.100.3.ga.33.best.fitness.min	_.mt.100.3.ga.33.best.fitness.max	_.mt.100.3.me.2.best.fitness	_.mt.100.3.me.2.best.fitness.min	_.mt.100.3.me.2.best.fitness.max	_.mt.100.3.cabea.e.11.best.fitness	_.mt.100.3.cabea.e.11.best.fitness.min	_.mt.100.3.cabea.e.11.best.fitness.max	_.mt.100.3.cabea.cc.11.best.fitness	_.mt.100.3.cabea.cc.11.best.fitness.min	_.mt.100.3.cabea.cc.11.best.fitness.max	_.mt.100.3.cabea.e.21.best.fitness	_.mt.100.3.cabea.e.21.best.fitness.min	_.mt.100.3.cabea.e.21.best.fitness.max	_.mt.100.3.cabea.cc.21.best.fitness	_.mt.100.3.cabea.cc.21.best.fitness.min	_.mt.100.3.cabea.cc.21.best.fitness.max
1.150e+04	0.000e+00	0.000e+00	1.000e-02	2.000e-02	1.000e-02	3.000e-02	5.000e-01	4.800e-01	5.100e-01	4.700e-01	4.600e-01	4.800e-01	3.300e-01	3.100e-01	3.500e-01	7.000e-01	6.900e-01	7.100e-01	6.700e-01	6.600e-01	6.800e-01
1.175e+04	0.000e+00	0.000e+00	1.000e-02	2.000e-02	1.000e-02	3.000e-02	5.000e-01	4.800e-01	5.100e-01	4.700e-01	4.500e-01	4.800e-01	3.200e-01	3.100e-01	3.400e-01	nan	nan	nan	6.700e-01	6.500e-01	6.800e-01
1.200e+04	0.000e+00	0.000e+00	1.000e-02	2.000e-02	1.000e-02	2.000e-02	4.900e-01	4.800e-01	5.100e-01	4.600e-01	4.400e-01	4.700e-01	3.200e-01	3.000e-01	3.400e-01	7.000e-01	6.800e-01	7.000e-01	nan	nan	nan
1.225e+04	0.000e+00	0.000e+00	1.000e-02	2.000e-02	1.000e-02	2.000e-02	4.900e-01	4.700e-01	5.000e-01	4.600e-01	4.300e-01	4.700e-01	3.100e-01	2.900e-01	3.300e-01	6.900e-01	6.800e-01	7.000e-01	6.700e-01	6.500e-01	6.700e-01
1.250e+04	0.000e+00	0.000e+00	0.000e+00	1.000e-02	1.000e-02	2.000e-02	4.800e-01	4.600e-01	5.000e-01	4.500e-01	4.200e-01	4.600e-01	3.000e-01	2.800e-01	3.300e-01	nan	nan	nan	6.600e-01	6.400e-01	6.700e-01
1.275e+04	0.000e+00	0.000e+00	0.000e+00	1.000e-02	0.000e+00	2.000e-02	4.800e-01	4.600e-01	4.900e-01	4.300e-01	4.200e-01	4.600e-01	3.000e-01	2.800e-01	3.200e-01	6.900e-01	6.800e-01	7.000e-01	6.600e-01	6.400e-01	6.700e-01
1.300e+04	0.000e+00	0.000e+00	0.000e+00	1.000e-02	0.000e+00	2.000e-02	4.800e-01	4.500e-01	4.900e-01	4.300e-01	4.100e-01	4.600e-01	2.900e-01	2.700e-01	3.100e-01	nan	nan	nan	nan	nan	nan
1.325e+04	0.000e+00	0.000e+00	0.000e+00	1.000e-02	0.000e+00	1.000e-02	4.800e-01	4.500e-01	4.900e-01	4.300e-01	4.100e-01	4.500e-01	2.800e-01	2.500e-01	3.000e-01	6.800e-01	6.700e-01	6.900e-01	6.500e-01	6.400e-01	6.700e-01
1.350e+04	0.000e+00	0.000e+00	0.000e+00	1.000e-02	0.000e+00	1.000e-02	4.700e-01	4.500e-01	4.800e-01	4.300e-01	4.000e-01	4.400e-01	2.800e-01	2.500e-01	3.000e-01	nan	nan	nan	6.500e-01	6.400e-01	6.700e-01
1.375e+04	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.000e-02	4.600e-01	4.500e-01	4.800e-01	4.200e-01	3.900e-01	4.400e-01	2.600e-01	2.500e-01	3.000e-01	6.800e-01	6.700e-01	6.800e-01	6.500e-01	6.200e-01	6.600e-01
