evals.q.250.	_.mt.100.3.ga.all.each.solution.overall.target.distance	_.mt.100.3.ga.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.all.each.solution.overall.target.distance.max	_.mt.100.3.ga.33.all.each.solution.overall.target.distance	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.min	_.mt.100.3.ga.33.all.each.solution.overall.target.distance.max	_.mt.100.3.me.2.all.each.solution.overall.target.distance	_.mt.100.3.me.2.all.each.solution.overall.target.distance.min	_.mt.100.3.me.2.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.11.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.e.21.all.each.solution.overall.target.distance.max	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.min	_.mt.100.3.cabea.cc.21.all.each.solution.overall.target.distance.max
1.175e+04	4.400e-01	4.400e-01	4.433e-01	4.467e-01	4.433e-01	4.500e-01	5.633e-01	5.467e-01	5.900e-01	5.033e-01	4.933e-01	5.267e-01	4.200e-01	3.867e-01	4.567e-01	nan	nan	nan	6.867e-01	6.700e-01	6.900e-01
1.200e+04	4.400e-01	4.400e-01	4.433e-01	4.467e-01	4.433e-01	4.500e-01	5.633e-01	5.400e-01	5.900e-01	5.000e-01	4.900e-01	5.200e-01	4.167e-01	3.800e-01	4.433e-01	7.067e-01	7.033e-01	7.133e-01	nan	nan	nan
1.225e+04	4.400e-01	4.400e-01	4.433e-01	4.467e-01	4.400e-01	4.500e-01	5.600e-01	5.367e-01	5.867e-01	4.933e-01	4.800e-01	5.133e-01	4.100e-01	3.733e-01	4.433e-01	7.033e-01	7.000e-01	7.133e-01	6.833e-01	6.667e-01	6.900e-01
1.250e+04	4.400e-01	4.400e-01	4.400e-01	4.433e-01	4.400e-01	4.467e-01	5.567e-01	5.300e-01	5.867e-01	4.900e-01	4.767e-01	5.067e-01	4.067e-01	3.733e-01	4.333e-01	nan	nan	nan	6.800e-01	6.667e-01	6.867e-01
1.275e+04	4.400e-01	4.400e-01	4.400e-01	4.433e-01	4.400e-01	4.433e-01	5.500e-01	5.300e-01	5.833e-01	4.900e-01	4.733e-01	5.000e-01	4.033e-01	3.667e-01	4.300e-01	7.000e-01	6.967e-01	7.067e-01	6.767e-01	6.600e-01	6.833e-01
1.300e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.467e-01	5.467e-01	5.267e-01	5.767e-01	4.767e-01	4.633e-01	4.933e-01	3.967e-01	3.600e-01	4.267e-01	nan	nan	nan	nan	nan	nan
1.325e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.433e-01	5.467e-01	5.233e-01	5.767e-01	4.733e-01	4.600e-01	4.933e-01	3.900e-01	3.500e-01	4.267e-01	7.000e-01	6.900e-01	7.033e-01	6.700e-01	6.600e-01	6.800e-01
1.350e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.367e-01	4.433e-01	5.433e-01	5.167e-01	5.767e-01	4.667e-01	4.567e-01	4.900e-01	3.867e-01	3.467e-01	4.233e-01	nan	nan	nan	6.700e-01	6.567e-01	6.800e-01
1.375e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.367e-01	4.433e-01	5.400e-01	5.133e-01	5.700e-01	4.600e-01	4.533e-01	4.833e-01	3.733e-01	3.367e-01	4.200e-01	6.933e-01	6.867e-01	7.000e-01	6.667e-01	6.533e-01	6.733e-01
1.400e+04	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	4.400e-01	5.400e-01	5.133e-01	5.667e-01	4.600e-01	4.433e-01	4.767e-01	3.667e-01	3.300e-01	4.100e-01	6.867e-01	6.833e-01	6.933e-01	nan	nan	nan
