x	y	0.fitness	0.targets.dist.0.	0.targets.dist.1.	0.targets.dist.2.	5000.fitness	5000.targets.dist.0.	5000.targets.dist.1.	5000.targets.dist.2.	10000.fitness	10000.targets.dist.0.	10000.targets.dist.1.	10000.targets.dist.2.	15000.fitness	15000.targets.dist.0.	15000.targets.dist.1.	15000.targets.dist.2.	20000.fitness	20000.targets.dist.0.	20000.targets.dist.1.	20000.targets.dist.2.	25000.fitness	25000.targets.dist.0.	25000.targets.dist.1.	25000.targets.dist.2.	30000.fitness	30000.targets.dist.0.	30000.targets.dist.1.	30000.targets.dist.2.	40000.fitness	40000.targets.dist.0.	40000.targets.dist.1.	40000.targets.dist.2.	50000.fitness	50000.targets.dist.0.	50000.targets.dist.1.	50000.targets.dist.2.
2	6	5.756e+00	5.938e+00	5.756e+00	7.957e+00	2.140e+00	5.394e+00	2.140e+00	6.018e+00	2.140e+00	5.394e+00	2.140e+00	6.018e+00	1.856e+00	4.952e+00	1.856e+00	6.112e+00	1.410e+00	5.534e+00	1.410e+00	6.574e+00	1.410e+00	5.534e+00	1.410e+00	6.574e+00	1.286e+00	5.386e+00	1.286e+00	6.396e+00	1.286e+00	5.386e+00	1.286e+00	6.396e+00	1.286e+00	5.386e+00	1.286e+00	6.396e+00
2	7	4.685e+00	6.150e+00	4.685e+00	7.282e+00	1.859e+00	5.807e+00	1.859e+00	6.839e+00	1.653e+00	4.743e+00	1.653e+00	5.911e+00	1.653e+00	4.743e+00	1.653e+00	5.911e+00	1.620e+00	5.728e+00	1.620e+00	6.904e+00	1.526e+00	5.524e+00	1.526e+00	6.883e+00	1.482e+00	5.174e+00	1.482e+00	6.689e+00	1.482e+00	5.174e+00	1.482e+00	6.689e+00	1.411e+00	5.175e+00	1.411e+00	6.387e+00
2	8	4.946e+00	5.724e+00	4.946e+00	7.193e+00	2.011e+00	5.106e+00	2.011e+00	6.830e+00	1.910e+00	5.340e+00	1.910e+00	6.952e+00	1.821e+00	5.855e+00	1.821e+00	7.056e+00	1.440e+00	5.421e+00	1.440e+00	6.746e+00	1.394e+00	4.925e+00	1.394e+00	6.339e+00	1.394e+00	4.925e+00	1.394e+00	6.339e+00	1.394e+00	4.925e+00	1.394e+00	6.339e+00	1.339e+00	4.832e+00	1.339e+00	6.575e+00
2	9	6.224e+00	6.552e+00	6.224e+00	8.654e+00	2.231e+00	5.326e+00	2.231e+00	6.750e+00	2.036e+00	5.705e+00	2.036e+00	7.156e+00	1.733e+00	5.028e+00	1.733e+00	6.571e+00	1.573e+00	4.567e+00	1.573e+00	5.782e+00	1.335e+00	5.034e+00	1.335e+00	6.445e+00	1.335e+00	5.034e+00	1.335e+00	6.445e+00	1.335e+00	5.034e+00	1.335e+00	6.445e+00	1.335e+00	5.034e+00	1.335e+00	6.445e+00
2	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1	6.394e+00	7.014e+00	6.394e+00	8.550e+00	2.640e+00	5.632e+00	2.640e+00	6.943e+00	1.866e+00	5.800e+00	1.866e+00	6.908e+00	1.630e+00	5.056e+00	1.630e+00	6.649e+00	1.630e+00	5.056e+00	1.630e+00	6.649e+00	1.555e+00	5.652e+00	1.555e+00	6.490e+00	1.555e+00	5.652e+00	1.555e+00	6.490e+00	1.415e+00	5.079e+00	1.415e+00	6.292e+00	1.288e+00	5.431e+00	1.288e+00	6.585e+00
3	2	6.618e+00	7.326e+00	6.618e+00	7.881e+00	2.544e+00	4.727e+00	2.544e+00	6.524e+00	1.437e+00	5.073e+00	1.437e+00	6.600e+00	1.437e+00	5.073e+00	1.437e+00	6.600e+00	1.437e+00	5.073e+00	1.437e+00	6.600e+00	1.437e+00	5.073e+00	1.437e+00	6.600e+00	1.437e+00	5.073e+00	1.437e+00	6.600e+00	1.315e+00	5.264e+00	1.315e+00	6.291e+00	1.315e+00	5.264e+00	1.315e+00	6.291e+00
3	3	6.263e+00	6.576e+00	6.263e+00	7.891e+00	2.188e+00	4.488e+00	2.188e+00	6.140e+00	1.718e+00	5.239e+00	1.718e+00	6.303e+00	1.524e+00	5.088e+00	1.524e+00	6.575e+00	1.351e+00	4.890e+00	1.351e+00	6.212e+00	1.351e+00	4.890e+00	1.351e+00	6.212e+00	1.351e+00	4.890e+00	1.351e+00	6.212e+00	1.218e+00	5.261e+00	1.218e+00	6.280e+00	1.218e+00	5.261e+00	1.218e+00	6.280e+00
3	4	5.783e+00	6.016e+00	5.783e+00	7.618e+00	2.548e+00	5.504e+00	2.548e+00	7.241e+00	1.682e+00	5.137e+00	1.682e+00	6.152e+00	1.682e+00	5.137e+00	1.682e+00	6.152e+00	1.682e+00	5.137e+00	1.682e+00	6.152e+00	1.566e+00	4.916e+00	1.566e+00	6.253e+00	1.566e+00	4.916e+00	1.566e+00	6.253e+00	1.516e+00	5.731e+00	1.516e+00	6.940e+00	1.465e+00	5.095e+00	1.465e+00	6.282e+00
3	5	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	6	5.330e+00	5.860e+00	5.330e+00	7.729e+00	2.042e+00	4.962e+00	2.042e+00	6.431e+00	1.924e+00	5.188e+00	1.924e+00	6.341e+00	1.511e+00	5.131e+00	1.511e+00	6.233e+00	1.511e+00	5.131e+00	1.511e+00	6.233e+00	1.511e+00	5.131e+00	1.511e+00	6.233e+00	1.511e+00	5.131e+00	1.511e+00	6.233e+00	1.511e+00	5.131e+00	1.511e+00	6.233e+00	1.294e+00	5.482e+00	1.294e+00	6.488e+00
3	7	5.493e+00	5.493e+00	5.596e+00	7.211e+00	2.140e+00	4.863e+00	2.140e+00	6.205e+00	1.943e+00	5.264e+00	1.943e+00	6.488e+00	1.758e+00	5.283e+00	1.758e+00	6.275e+00	1.708e+00	4.916e+00	1.708e+00	6.185e+00	1.528e+00	5.070e+00	1.528e+00	6.352e+00	1.514e+00	5.002e+00	1.514e+00	5.907e+00	1.514e+00	5.002e+00	1.514e+00	5.907e+00	1.218e+00	4.880e+00	1.218e+00	6.287e+00
3	8	6.423e+00	6.859e+00	6.423e+00	8.227e+00	2.655e+00	5.609e+00	2.655e+00	6.993e+00	1.955e+00	4.835e+00	1.955e+00	6.331e+00	1.764e+00	5.377e+00	1.764e+00	6.433e+00	1.503e+00	4.961e+00	1.503e+00	6.222e+00	1.503e+00	4.961e+00	1.503e+00	6.222e+00	1.364e+00	5.548e+00	1.364e+00	6.874e+00	1.364e+00	5.548e+00	1.364e+00	6.874e+00	1.334e+00	5.139e+00	1.334e+00	6.476e+00
3	9	6.402e+00	6.808e+00	6.402e+00	7.924e+00	2.173e+00	6.153e+00	2.173e+00	7.104e+00	1.868e+00	5.304e+00	1.868e+00	7.317e+00	1.673e+00	4.952e+00	1.673e+00	6.539e+00	1.588e+00	4.979e+00	1.588e+00	6.629e+00	1.465e+00	5.195e+00	1.465e+00	6.714e+00	1.465e+00	5.195e+00	1.465e+00	6.714e+00	1.286e+00	4.908e+00	1.286e+00	6.508e+00	1.286e+00	4.908e+00	1.286e+00	6.508e+00
3	10	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
